"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**";"fiducial-1mm";2;"fiducial-1mm";;;
2;"C6,C7,C18,C25";"SM0805-HAND-C";4;"330pF";;;
3;"G***,G***";"LOGO";2;"LOGO";;;
4;"SNAP-HOLE-0.125-INCH,SNAP-HOLE-0.125-INCH,SNAP-HOLE-0.125-INCH,SNAP-HOLE-0.125-INCH";"SNAP_HOLE_0.125_INCH";4;"VAL**";;;
5;"D1,D2,D3,D4";"3MM-LED-C1A2";4;"LED";;;
6;"J1,J2,J3,J4,J5,J6";"PJ-301B-JACK-SLOTS";6;"PJ301B";;;
7;"P1";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"CONN_02X05";;;
8;"SW1";"B3F-1050-OMRON";1;"B3F-1050";;;
9;"U5,U7,U6";"SO16-JRL";3;"LM13700";;;
10;"U8";"SO16-JRL";1;"DG409";;;
11;"Q6,Q5,Q4,Q3";"SOT23-JRL";4;"J112";;;
12;"Q2,Q1";"sot323-6";2;"BCM857BS";;;
13;"R78,R77,R76,R75,R74,R73,R61,R48,R47,R45,R44,R26,R24,R8,R7,R4,R3,R2";"SM0603-R-YAGEO";18;"100K";;;
14;"R72";"SM0603-R-YAGEO";1;"270K";;;
15;"R71,R70,R49,R1";"SM0603-R-YAGEO";4;"10K";;;
16;"R69,R58,R57,R46,R40,R34,R33";"SM0603-R-YAGEO";7;"33K";;;
17;"R68,R56,R55,R39,R32,R31";"SM0603-R-YAGEO";6;"18K";;;
18;"R65,R62,R53,R38,R36,R30";"SM0603-R-YAGEO";6;"560";;;
19;"R64,R59";"SM0603-R-YAGEO";2;"330";;;
20;"R63,R60,R52,R37,R35,R29";"SM0603-R-YAGEO";6;"68K";;;
21;"R54,R12";"SM0603-R-YAGEO";2;"1K";;;
22;"R51";"SM0603-R-YAGEO";1;"330K";;;
23;"R50,R18,R14,R13";"SM0603-R-YAGEO";4;"47K";;;
24;"R43,R42";"SM0603-R-YAGEO";2;"56K";;;
25;"R41";"SM0603-R-YAGEO";1;"3.3K";;;
26;"R28,R21";"SM0603-R-YAGEO";2;"1.5M";;;
27;"R27,R20";"SM0603-R-YAGEO";2;"1.5K";;;
28;"R25";"SM0603-R-YAGEO";1;"820";;;
29;"R23";"SM0603-R-YAGEO";1;"1.8K";;;
30;"R22";"SM0603-R-YAGEO";1;"8.2K";;;
31;"R17";"SM0603-R-YAGEO";1;"5.6K";;;
32;"R16";"SM0603-R-YAGEO";1;"4.7K";;;
33;"R15";"SM0603-R-YAGEO";1;"150K";;;
34;"R11";"SM0603-R-YAGEO";1;"1M";;;
35;"R10";"SM0603-R-YAGEO";1;"680K";;;
36;"R9";"SM0603-R-YAGEO";1;"110K";;;
37;"R6,R5";"SM0603-R-YAGEO";2;"200K";;;
38;"U4,U3,U2,U1";"TSSOP8-JRL";4;"TL072-";;;
39;"U10";"TSSOP-16_4.4x5mm_Pitch0.65mm";1;"CD4027";;;
40;"U9";"TSSOP-16_4.4x5mm_Pitch0.65mm";1;"CD4052";;;
41;"U11";"TSSOP-14_4.4x5mm_Pitch0.65mm";1;"CD40106";;;
42;"U13,U12";"SOT-23-5";2;"TS321";;;
43;"C24,C23,C10";"jrl_c_elec_5x5.3";3;"10μF";;;
44;"D9,D8";"SMB-1C2A";2;"S1BB";;;
45;"R19";"SM0805-HAND";1;"10K NTC";;;
46;"F2,F1";"SM0805-HAND";2;"FUSE";;;
47;"VR7,VR5";"TC33X-2";2;"100K";;;
48;"C29,C28,C11,C1";"SM0603-C-MURATA";4;"22pF";;;
49;"C27,C26,C20,C19,C17,C16,C15,C14,C13,C12";"SM0603-C-MURATA";10;"100n";;;
50;"C22,C21";"SM0603-C-MURATA";2;"0.47μ";;;
51;"C9,C4";"SM0603-C-MURATA";2;"33pF";;;
52;"C8,C3";"SM0603-C-MURATA";2;"4.7pF";;;
53;"C5,C2";"SM0603-C-MURATA";2;"47pF";;;
54;"D10,D7,D6,D5";"SOD323-C1A2";4;"1N914";;;
55;"REF***";"OSHW-Symbol_6.7x6mm_SilkScreen";1;"OSHW-Symbol_6.7x6mm_SilkScreen";;;
56;"VR6,VR3,VR2,VR1";"RD901F-40-ALPHA-POT-T18";4;"50K";;;
57;"REF***";"WEEE-Logo_4.2x6mm_SilkScreen";1;"WEEE-Logo_4.2x6mm_SilkScreen";;;
58;"G***";"Logo_silk_CE_5x3.6mm";1;"LOGO";;;
59;"G***";"Logo_silk_Lead-Free_5x5mm";1;"LOGO";;;
